"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: W5 Mapping","Mapping: HL7 v2 Mapping","Mapping: RIM Mapping"
"CareTeam","USCoreCareTeam","","",0,*,"","","","","US Core CareTeam Profile","The US Core CareTeam Profile is based upon the core FHIR CareTeam Resource and created to meet the 2015 Edition Common Clinical Data Set 'Care team member(s)' requirements.","","","","","","","","","",,,,,"",,,,"CareTeam",0,*,"","dom-2:If the resource is contained in another resource, it SHALL NOT contain nested Resources {contained.contained.empty()}
dom-1:If the resource is contained in another resource, it SHALL NOT contain any narrative {contained.text.empty()}dom-4:If a resource is contained in another resource, it SHALL NOT have a meta.versionId or a meta.lastUpdated {contained.meta.versionId.empty() and contained.meta.lastUpdated.empty()}dom-3:If the resource is contained in another resource, it SHALL be referred to from elsewhere in the resource {contained.where(('#'+id in %resource.descendants().reference).not()).empty()}","clinical.careprovision","Entity. Role, or Act"
"CareTeam.id","","","",0,1,"","","Y","id
","Logical id of this artifact","The logical id of the resource, as used in the URL for the resource. Once assigned, this value never changes.","The only time that a resource does not have an id is when it is being submitted to the server using a create operation.","","","","","","","","",,,,,"",,,,"Resource.id",0,1,"",""
"CareTeam.meta","","","",0,1,"","","Y","Meta
","Metadata about the resource","The metadata about the resource. This is content that is maintained by the infrastructure. Changes to the content may not always be associated with version changes to the resource.","","","","","","","","","",,,,,"",,,,"Resource.meta",0,1,"",""
"CareTeam.implicitRules","","","",0,1,"","Y","Y","uri
","A set of rules under which this content was created","A reference to a set of rules that were followed when the resource was constructed, and which must be understood when processing the content.","Asserting this rule set restricts the content to be only understood by a limited set of trading partners. This inherently limits the usefulness of the data in the long term. However, the existing health eco-system is highly fractured, and not yet ready to define, collect, and exchange data in a generally computable sense. Wherever possible, implementers and/or specification writers should avoid using this element as much as possible.","","","","","","","","",,,,,"",,,,"Resource.implicitRules",0,1,"",""
"CareTeam.language","","","",0,1,"","","","code
","Language of the resource content","The base language in which the resource is written.","Language is provided to support indexing and accessibility (typically, services such as text to speech use the language tag). The html language tag in the narrative applies  to the narrative. The language tag on the resource may be used to specify the language of other presentations generated from the data in the resource  Not all the content has to be in the base language. The Resource.language should not be assumed to apply to the narrative automatically. If a language is specified, it should it also be specified on the div element in the html (see rules in HTML5 for information about the relationship between xml:lang and the html lang attribute).","","","","","","","","",,"extensible","A human language.","http://hl7.org/fhir/ValueSet/languages","",,,,"Resource.language",0,1,"",""
"CareTeam.text","","narrative
htmlxhtmldisplay","",0,1,"","","","Narrative
","Text summary of the resource, for human interpretation","A human-readable narrative that contains a summary of the resource, and may be used to represent the content of the resource to a human. The narrative need not encode all the structured data, but is required to contain sufficient detail to make it ""clinically safe"" for a human to just read the narrative. Resource definitions may define what content should be represented in the narrative to ensure clinical safety.","Contained resources do not have narrative. Resources that are not contained SHOULD have a narrative. In some cases, a resource may only have text with little or no additional discrete data (as long as all minOccurs=1 elements are satisfied).  This may be necessary for data from legacy systems where information is captured as a ""text blob"" or where text is additionally entered raw or narrated and encoded in formation is added later.","","","","","","","","",,,,,"",,,,"DomainResource.text",0,1,"dom-1
","","Act.text?"
"CareTeam.contained","","inline resources
anonymous resourcescontained resources","",0,*,"","","","Resource
","Contained, inline Resources","These resources do not have an independent existence apart from the resource that contains them - they cannot be identified independently, and nor can they have their own independent transaction scope.","This should never be done when the content can be identified properly, as once identification is lost, it is extremely difficult (and context dependent) to restore it again.","","","","","","","","",,,,,"",,,,"DomainResource.contained",0,*,"","","N/A"
"CareTeam.extension","","extensions
user content","",0,*,"","","","Extension
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the resource. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"","","N/A"
"CareTeam.modifierExtension","","extensions
user content","",0,*,"","Y","","Extension
","Extensions that cannot be ignored","May be used to represent additional information that is not part of the basic definition of the resource, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"DomainResource.modifierExtension",0,*,"","","N/A"
"CareTeam.identifier","","","",0,*,"","","Y","Identifier
","External Ids for this team","This records identifiers associated with this care team that are defined by business processes and/or used to refer to it when a direct URL reference to the resource itself is not appropriate.","","","","","","","","","",,,,,"",,,,"CareTeam.identifier",0,*,"","","id"
"CareTeam.status","","","",1,1,"Y","Y","","CodeableConcept
","active | suspended | inactive | entered in error","Indicates whether the care team is currently active, suspended, inactive, or entered in error.","","","","","","","","","",,"required","Indicates whether the team is current , represents future intentions or is now a historical record.","http://hl7.org/fhir/us/core/ValueSet/us-core-careteam-status","",,,,"CareTeam.status",0,1,"","","status"
"CareTeam.category","","","",0,*,"","","Y","CodeableConcept
","Type of team","Identifies what kind of team.  This is to support differentiation between multiple co-existing teams, such as care plan team, episode of care team, longitudinal care team.","There may be multiple axis of categorization and one team may serve multiple purposes.","Used for filtering what teams(s) are retrieved and displayed to different types of users.","","","","","","","",,,,,"",,,,"CareTeam.category",0,*,"","","class"
"CareTeam.name","","","",0,1,"","","Y","string
","Name of the team, such as crisis assessment team","A label for human use intended to distinguish like teams.  E.g. the ""red"" vs. ""green"" trauma teams.","The meaning/purpose of the team is conveyed in CareTeam.category.  This element may also convey semantics of the team (e.g. ""Red trauma team""), but it's primary purpose is to distinguish between identical teams in a human-friendly way.  (""Team 18735"" isn't as friendly . ).","","","","","","","","",,,,,"",,,,"CareTeam.name",0,1,"",""
"CareTeam.subject","","","",1,1,"Y","","","Reference {http://hl7.org/fhir/us/core/StructureDefinition/us-core-patient}
","Who care team is for","Identifies the patient or group whose intended care is handled by the team.","","Allows the team to care for a group (e.g. marriage) therapy.","","","","","","","",,,,,"",,,,"CareTeam.subject",0,1,"","","who.focus"
"CareTeam.period","","","",0,1,"","","Y","Period
","Time period team covers","Indicates when the team did (or is intended to) come into effect and end.","","Allows tracking what team(s) are in effect at a particular time.","","","","","","","",,,,,"",,,,"CareTeam.period",0,1,"","","when.init"
"CareTeam.participant","","","",1,*,"Y","","","BackboneElement
","Members of the team","Identifies all people and organizations who are expected to be involved in the care team.","","","","","","","","","",,,,,"",,,,"CareTeam.participant",0,*,"","ele-1:All FHIR elements must have a @value or children {children().count() > id.count()}
","REL (REL.4 is always the Patient) ( or PRT?)",".participation[typeCode=PFM]"
